label,source,structurally_pruned,mAP50-95,latency_mean_ms,pareto
weighted_top2 direct,fixed_budget_probe,true,0.11402,14.77,true
t=0.30 direct,threshold_sweep,false,0.17719,16.02,true
t=0.10 direct,threshold_sweep,false,0.17719,16.37,false
t=0.05 direct,threshold_sweep,false,0.17719,16.53,false
t=0.20 direct,threshold_sweep,false,0.17719,16.77,false
t=0.15 direct,threshold_sweep,false,0.17719,17.26,false
t=0.30 LoRA10,threshold_sweep,false,0.16146,31.03,false
t=0.05 LoRA10,threshold_sweep,false,0.16146,31.67,false
t=0.20 LoRA10,threshold_sweep,false,0.16146,31.89,false
t=0.15 LoRA10,threshold_sweep,false,0.16146,32.28,false
t=0.10 LoRA10,threshold_sweep,false,0.16146,33.26,false
weighted_top2 lora10,fixed_budget_probe,false,0.14550,40.67,false
